Année;Code INSEE région;Région;Production nucléaire (GWh);Production thermique (GWh);Production hydraulique (GWh);Production éolienne (GWh);Production solaire (GWh);Production bioénergies (GWh)
2008;32;Hauts-de-France;37567.0;8820.0;6.0;955.0;0.7;413.0
2015;93;Provence-Alpes-Côte d'Azur;;5239.0;8700.0;105.0;1205.0;642.0
2017;24;Centre-Val de Loire;74851.0;399.0;67.0;1889.0;267.0;500.0
2021;44;Grand Est;61263.0;7667.0;8400.0;7625.0;841.0;1217.0
2015;28;Normandie;64779.0;3405.0;117.0;1260.0;122.0;434.0
2016;53;Bretagne;;577.0;585.0;1479.0;197.0;311.0
2017;11;Île-de-France;;2421.0;59.0;92.0;70.0;1298.0
2017;28;Normandie;53013.0;5000.0;126.0;1295.0;129.0;453.0
2022;94;Corse;;1114.0;338.0;10.0;273.0;3.0
2015;27;Bourgogne-Franche-Comté;;599.0;742.0;695.0;220.0;177.0
2015;52;Pays de la Loire;;3848.0;18.0;1223.0;422.0;342.0
2016;32;Hauts-de-France;31227.0;8345.0;16.0;4942.0;148.0;932.0
2016;44;Grand Est;82739.0;10156.0;9028.0;4938.0;486.0;787.0
2018;11;Île-de-France;;1726.0;41.0;134.0;83.0;1296.0
2019;32;Hauts-de-France;32087.0;9884.0;13.0;8933.0;166.0;1071.0
2022;24;Centre-Val de Loire;62923.0;403.0;63.0;2872.0;941.0;507.0
2022;28;Normandie;43431.0;2342.0;107.0;1841.0;288.0;739.0
2024;93;Provence-Alpes-Côte d'Azur;;2595.0;12075.0;207.0;3296.0;956.0
2020;52;Pays de la Loire;;2999.0;22.0;2395.0;666.0;470.0
2014;27;Bourgogne-Franche-Comté;;483.0;790.0;374.0;193.0;165.0
2014;32;Hauts-de-France;34682.0;3804.0;15.0;3643.0;117.0;771.0
2014;76;Occitanie;14927.0;242.0;12925.0;2078.0;1305.0;673.0
2014;93;Provence-Alpes-Côte d'Azur;;2426.0;10536.0;106.0;1010.0;563.0
2015;75;Nouvelle-Aquitaine;40391.0;674.0;3588.0;924.0;1817.0;1292.0
2015;76;Occitanie;18749.0;258.0;10584.0;2318.0;1604.0;706.0
2016;24;Centre-Val de Loire;75741.0;312.0;128.0;1802.0;245.0;432.0
2019;93;Provence-Alpes-Côte d'Azur;;7590.0;8422.0;104.0;1920.0;853.0
2008;28;Normandie;68493.0;8195.0;149.0;301.0;0.2;478.0
2011;44;Grand Est;81007.0;10367.0;7473.3;2685.8;171.9;329.0
2013;44;Grand Est;78256.0;11912.4;9408.4;3688.5;409.6;564.8
2009;24;Centre-Val de Loire;70663.0;799.0;96.0;961.0;1.5;159.0
2009;93;Provence-Alpes-Côte d'Azur;;7323.0;10225.0;110.0;29.1;252.0
2012;28;Normandie;68641.0;4831.0;152.0;948.8;83.7;416.0
2015;94;Corse;;1006.0;347.0;24.0;148.0;10.0
2016;76;Occitanie;19804.0;297.0;11115.0;2575.0;1849.0;762.0
2017;44;Grand Est;76883.0;12203.0;8015.0;5568.0;505.0;825.0
2018;76;Occitanie;17155.0;300.0;13906.0;3252.0;2217.0;720.0
2019;44;Grand Est;76390.0;9625.0;8599.0;7638.0;713.0;999.0
2021;27;Bourgogne-Franche-Comté;;739.0;985.0;1932.0;415.0;392.0
2014;11;Île-de-France;;2063.0;52.0;38.0;66.0;1100.0
2015;84;Auvergne-Rhône-Alpes;90853.0;2019.0;25822.0;799.0;780.0;829.0
2017;75;Nouvelle-Aquitaine;45143.0;1092.0;3322.0;1228.0;2452.0;1549.0
2018;24;Centre-Val de Loire;74536.0;385.0;141.0;2043.0;305.0;521.0
2020;84;Auvergne-Rhône-Alpes;77199.0;2494.0;28606.0;1144.0;1362.0;977.0
2021;75;Nouvelle-Aquitaine;36682.0;906.0;4713.0;2761.0;3792.0;1540.0
2023;32;Hauts-de-France;28739.0;6704.0;15.0;14533.0;574.0;975.0
2016;93;Provence-Alpes-Côte d'Azur;;9008.0;8816.0;109.0;1343.0;916.0
2017;84;Auvergne-Rhône-Alpes;79991.0;2384.0;22879.0;1008.0;887.0;876.0
2018;94;Corse;;819.0;641.0;13.0;184.0;9.0
2020;32;Hauts-de-France;32606.0;9467.0;13.0;11653.0;173.0;1055.0
2008;84;Auvergne-Rhône-Alpes;83548.0;2340.0;30545.0;404.0;5.7;274.0
2010;32;Hauts-de-France;36473.0;11076.0;5.0;1889.0;18.2;480.0
2010;75;Nouvelle-Aquitaine;48018.0;1440.0;4122.0;220.0;68.6;783.0
2013;84;Auvergne-Rhône-Alpes;88953.0;1248.8;32983.5;744.3;472.7;707.9
2012;11;Île-de-France;;4900.0;56.0;54.5;53.7;1059.0
2010;84;Auvergne-Rhône-Alpes;83086.0;2236.0;28540.0;575.0;73.8;351.0
2013;53;Bretagne;;273.9;513.9;1405.8;153.0;235.5
2016;84;Auvergne-Rhône-Alpes;74982.0;2540.0;27657.0;857.0;819.0;923.0
2018;52;Pays de la Loire;;4530.0;19.0;1632.0;546.0;385.0
2020;93;Provence-Alpes-Côte d'Azur;;6926.0;10811.0;95.0;1994.0;773.0
2014;53;Bretagne;;314.0;585.0;1396.0;177.0;289.0
2019;24;Centre-Val de Loire;71625.0;420.0;84.0;2592.0;349.0;517.0
2019;52;Pays de la Loire;;3417.0;19.0;1972.0;616.0;438.0
2019;84;Auvergne-Rhône-Alpes;85830.0;2129.0;26751.0;1193.0;1247.0;999.0
2023;94;Corse;;783.0;567.0;18.0;282.0;2.0
2009;94;Corse;;938.0;483.0;30.0;0.3;6.0
2010;24;Centre-Val de Loire;72878.0;803.0;153.0;1094.0;10.4;227.0
2011;11;Île-de-France;;3898.2;44.9;13.9;27.5;1042.0
2011;94;Corse;;1074.4;294.0;24.2;25.1;8.0
2021;76;Occitanie;14815.0;322.0;10260.0;3476.0;3020.0;687.0
2023;27;Bourgogne-Franche-Comté;;622.0;847.0;2639.0;875.0;434.0
2024;53;Bretagne;;1627.0;589.0;3430.0;670.0;458.0
2024;84;Auvergne-Rhône-Alpes;80202.0;1033.0;32459.0;1489.0;2894.0;1004.0
2014;28;Normandie;72092.0;2938.0;156.0;1047.0;112.0;422.0
2015;24;Centre-Val de Loire;79281.0;292.0;99.0;1928.0;234.0;423.0
2021;52;Pays de la Loire;;4700.0;24.0;2246.0;770.0;476.0
2023;53;Bretagne;;2636.0;571.0;2666.0;526.0;454.0
2008;53;Bretagne;;340.0;575.0;548.0;1.1;117.0
2009;11;Île-de-France;;5582.0;45.0;;2.6;1005.0
2009;76;Occitanie;19796.0;744.0;11360.0;1421.0;54.9;520.0
2012;76;Occitanie;15707.0;558.0;10435.0;2072.5;894.6;623.0
2016;94;Corse;;863.0;471.0;33.0;157.0;9.0
2017;53;Bretagne;;756.0;579.0;1540.0;207.0;358.0
2019;76;Occitanie;16952.0;308.0;9956.0;3735.0;2581.0;762.0
2021;32;Hauts-de-France;29825.0;9263.0;17.0;10362.0;280.0;969.0
2021;94;Corse;;931.0;537.0;12.0;256.0;4.0
2022;76;Occitanie;12144.0;302.0;9114.0;3124.0;3905.0;803.0
2014;24;Centre-Val de Loire;77871.0;267.0;139.0;1626.0;198.0;416.0
2016;52;Pays de la Loire;;4021.0;19.0;1262.0;441.0;333.0
2017;76;Occitanie;17768.0;268.0;9419.0;3045.0;2076.0;758.0
2024;52;Pays de la Loire;;1354.0;29.0;3859.0;1481.0;505.0
2012;52;Pays de la Loire;;6696.0;16.0;885.0;277.8;230.0
